shape_id,shape_label,shape_code,nucleus_type,closure_type,weight_code
1,CV,3.1.1.0.1,1,0,1
2,CVC,3.2.1.1.2,1,1,2
3,CVV,3.3.2.0.2,2,0,2
4,CVVC,3.4.2.1.3,2,1,3
5,CCV,3.5.1.0.2,1,0,2
6,CCVC,3.6.1.1.3,1,1,3
7,CVCC,3.7.1.2.3,1,2,3
8,CVVCC,3.8.2.2.4,2,2,4
9,V,3.9.1.0.1,1,0,1
10,VC,3.10.1.1.2,1,1,2
