surface,type,codepoint_sequence
وَ,connector,U+0648 U+064E
بِ,relation_marker,U+0628 U+0650
فَ,connector,U+0641 U+064E
لِ,relation_marker,U+0644 U+0650
ال,definite_article,U+0627 U+0644
