surface,type,codepoint_sequence
هذا,demonstrative,U+0647 U+0630 U+0627
هذه,demonstrative,U+0647 U+0630 U+0647
تلك,demonstrative,U+062A U+0644 U+0643
ذلك,demonstrative,U+0630 U+0644 U+0643
الذي,relative,U+0627 U+0644 U+0630 U+064A
التي,relative,U+0627 U+0644 U+062A U+064A
